%time,field
1412088576729011461,143
1412088576828391967,137
1412088576928342707,156
1412088577028376491,143
1412088577128384002,147
1412088577228410130,157
1412088577329045713,149
1412088577428260326,141
1412088577529330813,152
1412088577628603781,155
1412088577728485011,145
1412088577828460789,117
1412088577928358034,141
1412088578028373931,143
1412088578129474757,129
1412088578228447508,134
1412088578328556140,133
1412088578428314315,147
1412088578528340568,145
1412088578628381555,156
1412088578728431676,148
1412088578829543611,144
1412088578928711814,117
1412088579029086665,158
1412088579128444694,128
1412088579229190366,126
1412088579328665600,137
1412088579428898639,147
1412088579528498070,146
1412088579628489720,147
1412088579728890479,125
1412088579829253552,131
1412088579929003952,151
1412088580029564017,136
1412088580128414769,146
1412088580228922251,138
1412088580328516093,124
1412088580428370350,149
1412088580529151331,139
1412088580628998880,156
1412088580728812450,142
1412088580829120675,132
1412088580928477180,129
1412088581028377504,124
1412088581129635670,127
1412088581228331470,122
1412088581328622732,134
1412088581428937697,136
1412088581528542477,129
1412088581628870363,131
1412088581729037676,113
1412088581828526709,138
1412088581929457650,121
1412088582028477278,133
1412088582129159444,145
1412088582228348601,129
1412088582328454182,118
1412088582429396382,124
1412088582528472552,131
1412088582628879822,118
1412088582728337105,146
1412088582828467337,143
1412088582928357191,137
1412088583029643540,135
1412088583128307231,125
1412088583228401649,129
1412088583328704887,140
1412088583428435247,133
1412088583528769756,133
1412088583628379113,133
1412088583728365001,121
1412088583828452639,137
1412088583928373450,136
1412088584028498759,144
1412088584128412105,144
1412088584229011930,118
1412088584328420975,127
1412088584429153302,114
1412088584528423231,133
1412088584629294648,141
1412088584728432097,122
1412088584828391179,133
1412088584928417219,120
1412088585028397355,128
1412088585128442451,111
1412088585228330509,135
1412088585328417795,132
1412088585429037634,137
1412088585528694053,133
1412088585628561737,140
1412088585728577370,135
1412088585828592030,130
1412088585929374452,123
1412088586028827690,155
1412088586128573128,118
1412088586228542671,122
1412088586328406094,113
1412088586429922250,133
1412088586528672982,134
1412088586628581774,126
1412088586728646487,112
1412088586828429806,135
1412088586928388811,134
1412088587029002329,138
1412088587130078114,137
1412088587228501222,113
1412088587328421866,109
1412088587428584665,118
1412088587532743029,144
1412088587628437316,123
1412088587728618689,119
1412088587830373616,125
1412088587928712093,100
1412088588028489328,107
1412088588128607105,115
1412088588228471713,124
1412088588328380116,109
1412088588429473432,128
1412088588529518371,152
1412088588629238234,124
1412088588728392569,113
1412088588828355070,143
1412088588929570025,120
1412088589028370522,127
1412088589128502119,120
1412088589229753767,137
1412088589329190744,132
1412088589429154093,121
1412088589528475912,127
1412088589628650260,113
1412088589729861654,134
1412088589828522543,119
1412088589928476529,116
1412088590028389582,108
1412088590129506708,112
1412088590229240157,123
1412088590328356262,118
1412088590428501849,115
1412088590528391667,130
1412088590628834636,124
1412088590728524575,127
1412088590828297841,124
1412088590930272155,123
1412088591028343484,122
1412088591128318606,108
1412088591228665732,128
1412088591328418479,148
1412088591429355407,116
1412088591529284220,125
1412088591628486649,99
1412088591728492279,112
1412088591828374604,120
1412088591928865472,128
1412088592030424133,111
1412088592128527551,109
1412088592229046447,99
1412088592328240299,121
1412088592429491449,125
1412088592528602596,127
1412088592628646321,119
1412088592728391977,116
1412088592828124869,119
1412088592928382958,118
1412088593029330926,116
1412088593128988576,124
1412088593229111796,118
1412088593328384502,128
1412088593429492923,111
1412088593529550439,116
1412088593630351898,134
1412088593729298333,127
1412088593829340948,101
1412088593928302486,126
1412088594028376133,119
1412088594128376039,119
1412088594228856335,123
1412088594328355918,122
1412088594428229273,118
1412088594528890871,108
1412088594629498870,112
1412088594729628447,128
1412088594828668134,96
1412088594929757317,101
1412088595028365248,122
1412088595129850647,113
1412088595229114183,107
1412088595329268261,118
1412088595429375789,113
1412088595528671945,111
1412088595628347972,115
1412088595728350930,104
1412088595828262216,110
1412088595928290800,115
1412088596028834357,105
1412088596128287082,102
1412088596228988723,123
1412088596329441167,121
1412088596428512505,122
1412088596528781106,109
1412088596628377602,118
1412088596728406747,123
1412088596828364329,107
1412088596929301546,155
1412088597028375386,118
1412088597130208422,93
1412088597228461860,90
1412088597328471089,114
1412088597430547379,112
1412088597528872366,107
1412088597628637917,101
1412088597728611872,119
1412088597828532253,108
1412088597928636715,130
1412088598028461836,140
1412088598128574635,117
1412088598228991358,104
1412088598328840143,97
1412088598428717203,95
1412088598528245650,118
1412088598629753110,94
1412088598728591804,114
1412088598829978637,97
1412088598935003858,99
1412088599028477025,121
1412088599128511204,114
1412088599228606873,102
1412088599328408090,124
1412088599428330123,112
1412088599528284404,91
1412088599629254475,105
1412088599728378395,97
1412088599828345907,117
1412088599928774118,117
1412088600028423900,126
1412088600128925918,127
1412088600228421510,111
1412088600328474210,110
1412088600428534943,110
1412088600528984258,108
1412088600628826740,99
1412088600728803135,111
1412088600829679924,104
1412088600928430281,103
1412088601028558819,103
1412088601128450001,89
1412088601228670662,95
1412088601328465381,104
1412088601428777826,115
1412088601528481600,113
1412088601628556731,101
1412088601729250734,99
1412088601828664732,114
1412088601928411865,114
1412088602028390536,112
1412088602128463402,112
1412088602228250249,109
1412088602328459326,108
1412088602428646096,114
1412088602529438484,116
1412088602628947957,106
1412088602728461378,105
1412088602829177539,108
1412088602929183426,115
1412088603030542656,102
1412088603128506233,108
1412088603228258208,100
1412088603328321922,112
1412088603428470223,105
1412088603528384409,108
1412088603628752107,104
1412088603728441605,109
1412088603828431708,112
1412088603928277097,95
1412088604028433368,99
1412088604128336068,91
1412088604228378410,100
1412088604328298428,101
1412088604428338342,110
1412088604528867553,121
1412088604628619403,108
1412088604728429985,126
1412088604828394156,119
1412088604928499682,111
1412088605028809091,126
1412088605128367687,86
1412088605228740991,96
1412088605328376050,82
1412088605428466695,83
1412088605528393074,94
1412088605629488470,92
1412088605728426473,121
1412088605828463981,107
1412088605929109989,112
1412088606029907338,86
1412088606129182781,87
1412088606228377795,113
1412088606328316130,99
1412088606428439242,111
1412088606528353978,120
1412088606628312326,100
1412088606728341794,105
1412088606828461635,97
1412088606928526738,100
1412088607028271687,117
1412088607128374619,108
1412088607228318951,91
1412088607328542251,81
1412088607428552123,84
1412088607528382899,109
1412088607628404984,115
1412088607728426265,96
1412088607828541591,84
1412088607928452742,107
1412088608028431019,88
1412088608128698861,88
1412088608228348406,105
1412088608330108884,108
1412088608428482003,80
1412088608528415939,113
